id,sentence,aspects_str
3121,But the staff was so horrible to us.,"[{'type': 'term', 'term': 'staff', 'polarity': 'negative'}, {'type': 'category', 'category': 'service', 'polarity': 'negative'}]"
2777,"To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora.","[{'type': 'term', 'term': 'food', 'polarity': 'positive'}, {'type': 'category', 'category': 'food', 'polarity': 'positive'}, {'type': 'category', 'category': 'anecdotes/miscellaneous', 'polarity': 'negative'}]"
1634,"The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.","[{'type': 'term', 'term': 'food', 'polarity': 'positive'}, {'type': 'term', 'term': 'kitchen', 'polarity': 'positive'}, {'type': 'term', 'term': 'menu', 'polarity': 'neutral'}, {'type': 'category', 'category': 'food', 'polarity': 'positive'}]"
2534,Where Gabriela personaly greets you and recommends you what to eat.,"[{'type': 'category', 'category': 'service', 'polarity': 'positive'}]"
583,"For those that go once and don't enjoy it, all I can say is that they just don't get it.","[{'type': 'category', 'category': 'anecdotes/miscellaneous', 'polarity': 'positive'}]"
2846,"Not only was the food outstanding, but the little 'perks' were great.","[{'type': 'term', 'term': 'food', 'polarity': 'positive'}, {'type': 'term', 'term': 'perks', 'polarity': 'positive'}, {'type': 'category', 'category': 'food', 'polarity': 'positive'}, {'type': 'category', 'category': 'service', 'polarity': 'positive'}]"
1571,It is very overpriced and not very tasty.,"[{'type': 'category', 'category': 'food', 'polarity': 'negative'}, {'type': 'category', 'category': 'price', 'polarity': 'negative'}]"
1458,Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,"[{'type': 'term', 'term': 'orrechiete with sausage and chicken', 'polarity': 'positive'}, {'type': 'term', 'term': 'waiters', 'polarity': 'positive'}, {'type': 'term', 'term': 'meats', 'polarity': 'neutral'}, {'type': 'term', 'term': 'dish', 'polarity': 'neutral'}, {'type': 'category', 'category': 'food', 'polarity': 'positive'}, {'type': 'category', 'category': 'service', 'polarity': 'positive'}]"
3161,"The Bagels have an outstanding taste with a terrific texture, both chewy yet not gummy.","[{'type': 'term', 'term': 'Bagels', 'polarity': 'positive'}, {'type': 'category', 'category': 'food', 'polarity': 'positive'}]"
2391,Nevertheless the food itself is pretty good.,"[{'type': 'term', 'term': 'food', 'polarity': 'positive'}, {'type': 'category', 'category': 'food', 'polarity': 'positive'}]"
296,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.","[{'type': 'term', 'term': 'toast', 'polarity': 'negative'}, {'type': 'term', 'term': 'mayonnaise', 'polarity': 'negative'}, {'type': 'term', 'term': 'bacon', 'polarity': 'negative'}, {'type': 'term', 'term': 'cheese', 'polarity': 'neutral'}, {'type': 'term', 'term': 'ingredients', 'polarity': 'negative'}, {'type': 'term', 'term': 'plate', 'polarity': 'neutral'}, {'type': 'term', 'term': 'omelet', 'polarity': 'neutral'}, {'type': 'category', 'category': 'food', 'polarity': 'negative'}]"
1793,"It took half an hour to get our check, which was perfect since we could sit, have drinks and talk!","[{'type': 'term', 'term': 'drinks', 'polarity': 'neutral'}, {'type': 'term', 'term': 'check', 'polarity': 'neutral'}, {'type': 'category', 'category': 'service', 'polarity': 'conflict'}]"
2200,The design and atmosphere is just as good.,"[{'type': 'term', 'term': 'design', 'polarity': 'positive'}, {'type': 'term', 'term': 'atmosphere', 'polarity': 'positive'}, {'type': 'category', 'category': 'ambience', 'polarity': 'positive'}]"
3195,He has visited Thailand and is quite expert on the cuisine.,"[{'type': 'term', 'term': 'cuisine', 'polarity': 'positive'}, {'type': 'category', 'category': 'food', 'polarity': 'positive'}]"
3119,I would definitely recommend Mary's and am making it one of my regular neighborhood haunts.,"[{'type': 'category', 'category': 'anecdotes/miscellaneous', 'polarity': 'positive'}]"
3359,The pizza is the best if you like thin crusted pizza.,"[{'type': 'term', 'term': 'pizza', 'polarity': 'positive'}, {'type': 'term', 'term': 'thin crusted pizza', 'polarity': 'neutral'}, {'type': 'category', 'category': 'food', 'polarity': 'positive'}]"
70,My Girlfriend and I stumbled onto this hopping place the other night and had a great time!,"[{'type': 'category', 'category': 'anecdotes/miscellaneous', 'polarity': 'positive'}]"
1829,"He can't help, they're bought up so fast.","[{'type': 'category', 'category': 'anecdotes/miscellaneous', 'polarity': 'neutral'}]"
2935,"Secondly, on this night the place was overwhelmed by upper east side ladies perfume.","[{'type': 'category', 'category': 'ambience', 'polarity': 'negative'}]"
1805,"i have eaten here a handful of times, for no reason besides sheer convenience.","[{'type': 'category', 'category': 'anecdotes/miscellaneous', 'polarity': 'neutral'}]"
2559,Obviously run by folks who know a pie.,"[{'type': 'category', 'category': 'service', 'polarity': 'positive'}]"
